,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
60,Anarchist Crack,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107566472/anarchist-crack,3.1,-1,"Trad, Boulder",5.6 V0,1,25.0,43.41325,-89.71177,15,1979,15,"Apr19,2012"
61,Saddle Sores,D'Arcy's Buttress > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106573243/saddle-sores,3.1,-1,Boulder,V2,1,,43.41356,-89.71228,16,3620,22,"Oct17,2009"
62,Pink T-shirts and Berry Skoal,6. Monolith Ridge - West Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107798751/pink-t-shirts-and-berry-skoal,2.3,-1,Boulder,V2,1,10.0,43.42157,-89.72367,31,1495,12,"Sep16,2012"
63,Book of Glass,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106528491/book-of-glass,2.8,-1,Boulder,V0,1,,43.42098,-89.73728,22,1636,10,"Aug27,2009"
64,Purple Bud,3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111004747/purple-bud,2.0,-1,Boulder,V0,1,10.0,43.42737,-89.72676,37,1121,12,"Sep9,2015"
65,The Giese Dome,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435315/the-giese-dome,2.9,-1,Boulder,V2,1,12.0,43.42699,-89.72633,19,1789,11,"May18,2009"
66,Joan of Arc,"Heroine's Corridor > 4.  Gom Jabbar > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/119723851/joan-of-arc,3.7,-1,Boulder,V2,1,18.0,43.423629999999996,-89.73765,3,382,13,"Oct11,2020"
67,Thunderbird Bulge,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435422/thunderbird-bulge,2.6,-1,Boulder,V3,1,,43.42157,-89.72333,25,1693,10,"May18,2009"
68,Insomnia,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107186195/insomnia,3.4,-1,Boulder,V3 PG13,1,18.0,43.4249,-89.73602,7,1756,12,"Jun23,2011"
69,Arrested Layback,Triple Tower Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106487987/arrested-layback,3.4,-1,Boulder,V0+,1,22.0,43.4263,-89.71799999999999,7,1792,11,"Jul13,2009"
70,Left Crack,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435602/left-crack,3.1,-1,Boulder,V0,1,,43.41383,-89.7149,14,1671,10,"May18,2009"
71,Thin Crack,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435621/thin-crack,2.9,-1,Boulder,V1,1,,43.41383,-89.7149,17,1279,8,"May18,2009"
72,Easy Corner,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106490590/easy-corner,2.0,-1,Boulder,V1,1,,43.41885,-89.73700000000001,35,1534,9,"Jul16,2009"
73,Textured Face,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106777186/textured-face,2.4,-1,Boulder,V0,1,,43.41383,-89.7149,26,1212,8,"May27,2010"
74,Heaven's Gate,Heavenly Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118973108/heavens-gate,3.5,-1,Boulder,V3 R,1,,43.41953,-89.73738,4,641,18,"Jun2,2020"
75,Tutu Slab,"1.  The Instrumentals > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/119200967/tutu-slab,3.5,-1,Boulder,V2,1,18.0,43.42707,-89.73666999999999,4,473,14,"Jul12,2020"
76,The Great Eye,"Walrus > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107920334/the-great-eye,3.2,-1,Boulder,V1,1,15.0,43.42657,-89.73606,10,1442,11,"Dec5,2012"
77,Lou Reed Arete,Lou Reed > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435506/lou-reed-arete,2.8,-1,Boulder,V3,1,15.0,43.41471,-89.72476,20,1563,9,"May18,2009"
