,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
1279,Royal Star,Magnolia > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123262513/royal-star,3.0,-1,Boulder,V10,1,,43.42158,-89.7368,2,129,22,"Oct16,2022"
1280,Lunker Variation,12. Basswood > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123145192/lunker-variation,1.5,-1,Boulder,V8-9,1,,43.4192,-89.72713,2,194,30,"Sep29,2022"
1281,Mystagogue,"One Word > 5.  Above and Beyond > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/122940742/mystagogue,3.0,-1,Boulder,V11-12,1,12.0,43.423190000000005,-89.73719,1,275,36,"Aug23,2022"
1282,Money Maker,Money Maker/ Party Hole > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123158759/money-maker,3.0,-1,Boulder,V7-8,1,,43.425340000000006,-89.72554000000001,1,134,21,"Oct1,2022"
1283,Apocalyptlow,"Twist > 5.  Above and Beyond > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/122946807/apocalyptlow,3.0,-1,Boulder,V10,1,,43.42335,-89.73742,1,199,26,"Aug25,2022"
1284,The Gasch Traverse,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108341297/the-gasch-traverse,2.7,-1,Boulder,V8,1,,43.40436,-89.72961,7,1231,11,"Sep16,2013"
1285,Under the Sun,Sunny & 60s > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122224765/under-the-sun,3.0,-1,Boulder,V6,1,,43.42442,-89.72506,1,204,17,"Apr11,2022"
1286,Vecna,05. Enchanted Forest > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123126132/vecna,3.0,-1,Boulder,V9-10,1,,43.41748,-89.72704,1,125,19,"Sep25,2022"
1287,Flypaper,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106273028/flypaper,2.7,-1,Boulder,V7,1,,43.40436,-89.72961,7,1685,10,"Oct9,2008"
1288,Inflation Project,Money Maker/ Party Hole > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123158872/inflation-project,3.0,-1,Boulder,V9+,1,,43.425340000000006,-89.72554000000001,1,100,16,"Oct1,2022"
1289,Magnolia,Magnolia > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120545335/magnolia,3.0,-1,Boulder,V8,1,,43.42158,-89.7368,1,408,17,"Apr13,2021"
1290,Wall of Secrets,06. Walls of Secrets > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123145002/wall-of-secrets,3.0,-1,Boulder,V7-8 PG13,1,,43.41774,-89.72699,1,81,13,"Sep29,2022"
1291,Solidarity,Bakerâ€™s Stash > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119002760/solidarity,3.0,-1,Boulder,V8,1,,43.41408,-89.72587,1,495,14,"Jun7,2020"
1292,Dune,"Gom Jabbar > 4.  Gom Jabbar > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117904854/dune,3.0,-1,Boulder,V7,1,,43.42348,-89.73784,1,618,15,"Oct17,2019"
1293,The Grudge,16. Ivy League > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121571815/the-grudge,3.0,-1,Boulder,V9,1,,43.41925,-89.73897,1,216,12,"Nov2,2021"
1294,Tilted Sloper Project,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/118057802/tilted-sloper-project,3.0,-1,Boulder,V11+,1,,43.42818,-89.73615,1,599,14,"Nov17,2019"
1295,Pillar of Secrets,06. Walls of Secrets > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123144950/pillar-of-secrets,3.0,-1,Boulder,V7 PG13,1,,43.41774,-89.72699,1,76,12,"Sep29,2022"
1296,Tilted Face Project,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/118057843/tilted-face-project,3.0,-1,Boulder,V11+,1,,43.42818,-89.73615,1,559,14,"Nov17,2019"
1297,Flat Earth Project,"2.  Edge of the Earth > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/118057932/flat-earth-project,3.0,-1,Boulder,V10+,1,,43.42476,-89.73767,1,552,13,"Nov17,2019"
1298,The Joy of Life,Tipping Point > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111772484/the-joy-of-life,2.0,-1,Boulder,V11,1,20.0,43.421490000000006,-89.72417,2,1189,14,"Apr11,2016"
1299,Rogue Direct Project,"One Word > 5.  Above and Beyond > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/118070176/rogue-direct-project,3.0,-1,Boulder,V10+,1,,43.423190000000005,-89.73719,1,527,13,"Nov19,2019"
1300,Mockingjay,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114313873/mockingjay,3.0,-1,Boulder,V9 PG13,1,,43.41357,-89.70137,1,754,13,"Apr29,2018"
1301,Rarity Roof,Fukness (aka Heartbreak) > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118832195/rarity-roof,3.0,-1,Boulder,V9,1,,43.41695,-89.72691,1,424,12,"May5,2020"
1302,Soft Whispers,06. Walls of Secrets > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123145063/soft-whispers,3.0,-1,Boulder,V7 PG13,1,,43.41774,-89.72699,1,63,10,"Sep29,2022"
1303,Lone Wolf,"3.  Larry Collins > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117865681/lone-wolf,3.0,-1,Boulder,V7,1,,43.42388,-89.73805,1,486,11,"Oct11,2019"
1304,Grand Finale,5. Hole-In-The-Wall > East Bluff 06 - Balanced Rock > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112236344/grand-finale,3.0,-1,"TR, Boulder",5.13b V8,1,,43.4142,-89.72368,1,927,12,"Oct16,2016"
1305,Soaring Block Project,15. Between the Ferns > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119576254/soaring-block-project,3.0,-1,Boulder,V9+,1,,43.41835,-89.73905,1,335,11,"Sep18,2020"
1306,Purple Hatchet Project,Purple Hatchet > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117970399/purple-hatchet-project,3.0,-1,Boulder,V10+ PG13,1,,43.41339,-89.7126,1,467,11,"Oct30,2019"
1307,Diesel Additive,Influx > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117741836/diesel-additive,3.0,-1,Boulder,V9 PG13,1,,43.412659999999995,-89.71212,1,485,11,"Sep14,2019"
1308,Galvanize,Balanced Talus AKA Easy Access > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120358776/galvanize,3.0,-1,Boulder,V8-9,1,,43.41323,-89.7245,1,262,10,"Mar6,2021"
1309,Duck Tales,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118714880/duck-tales,3.0,-1,Boulder,V8,1,,43.41357,-89.70137,1,395,11,"Mar30,2020"
1310,Invasive Species,15. Between the Ferns > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119576425/invasive-species,3.0,-1,Boulder,V8,1,,43.41835,-89.73905,1,324,10,"Sep18,2020"
1311,Big Money Project,Main Wall > Steinke Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106913415/big-money-project,3.0,-1,Boulder,V9+,1,,43.4273,-89.7192,1,1726,11,"Oct5,2010"
1312,Burl Kitten,04. Kitty Corner > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122751346/burl-kitten,3.0,-1,Boulder,V7,1,,43.4123,-89.71661999999999,1,113,13,"Jul17,2022"
1313,Le Eagle,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113756677/le-eagle,3.0,-1,Boulder,V7,1,,43.40436,-89.72961,1,719,11,"Nov7,2017"
1314,Horn of Africa,Fukness (aka Heartbreak) > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118832186/horn-of-africa,3.0,-1,Boulder,V7-8 PG13,1,,43.41695,-89.72691,1,360,10,"May5,2020"
1315,Dr. Strange,Big Wobbly > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117789004/dr-strange,3.0,-1,Boulder,V8,1,,43.42132,-89.72466,1,443,10,"Sep24,2019"
1316,Bone Saw,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118850921/bone-saw,3.0,-1,Boulder,V8 PG13,1,,43.4203,-89.73666,1,356,10,"May9,2020"
1317,Le Corbusier,The Crow > 02. Major Mass > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118697957/le-corbusier,3.0,-1,Boulder,V9,1,9.0,43.4139,-89.72048000000001,1,369,10,"Mar26,2020"
1318,Fight Club,1.  Alpine Club > 06. Alpine Club/Beautiful Soup > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107737782/fight-club,2.8,-1,Boulder,V10-,1,,43.41806,-89.73699,5,1376,11,"Aug6,2012"
1319,Fontesque,"The Prow (aka Tunder Tighs) > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/113762514/fontesque,3.0,-1,Boulder,V9,1,,43.42351,-89.73640999999999,1,680,10,"Nov7,2017"
1320,Manta Ray,"Warbler > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117678377/manta-ray,3.0,-1,Boulder,V7,1,,43.42426,-89.73664000000001,1,417,9,"Sep1,2019"
1321,Bottoms Up,Clusterf@&% Area (aka Lost Face Boulders) > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113638301/bottoms-up,3.0,-1,Boulder,V10-,1,,43.42055,-89.738,1,654,10,"Nov7,2017"
1322,Space Jam,"Good Morning, Veruca! > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/112561358/space-jam,3.0,-1,Boulder,V8-9,1,,43.424479999999996,-89.72497,1,715,10,"Mar19,2017"
1323,Apocalypto,"Twist > 5.  Above and Beyond > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/113510044/apocalypto,3.0,-1,Boulder,V7,1,,43.42335,-89.73742,1,657,10,"Aug26,2017"
1324,Awesome Blossom,"Awesome Blossom > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/112860043/awesome-blossom,3.0,-1,Boulder,V9-10,1,,43.42693,-89.7354,1,675,9,"Apr28,2017"
1325,Atari Nightmare,10. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114301318/atari-nightmare,3.0,-1,Boulder,V6 R,1,15.0,43.41278,-89.70451,1,549,9,"Apr26,2018"
1326,Mystique,"One Word > 5.  Above and Beyond > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/112819737/mystique,3.0,-1,Boulder,V9,1,,43.423190000000005,-89.73719,1,673,9,"Apr12,2017"
1327,Tier Two,The Final Tier > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113534421/tier-two,3.0,-1,Boulder,V8-9 PG13,1,15.0,43.42111,-89.72351,1,623,9,"Sep1,2017"
1328,Barn Swallow,10. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114301434/barn-swallow,2.8,-1,Boulder,V6,1,10.0,43.41278,-89.70451,5,533,9,"Apr26,2018"
1329,Galactic,"Good Morning, Veruca! > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/112561320/galactic,3.0,-1,Boulder,V7,1,,43.424479999999996,-89.72497,1,647,9,"Mar19,2017"
1330,Silently Judging,Black Rhino > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113558806/silently-judging,3.0,-1,Boulder,V6-7 PG13,1,20.0,43.41584,-89.725,1,593,9,"Sep6,2017"
1331,Fully Charged,Clusterf@&% Area (aka Lost Face Boulders) > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112877579/fully-charged,3.0,-1,Boulder,V8 R,1,,43.42055,-89.738,1,628,9,"May5,2017"
1332,Amazing Face,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111823345/amazing-face,3.0,-1,Boulder,V6,1,,43.4036,-89.73416999999999,1,729,9,"May1,2016"
1333,Ripples of Time,Ocean Floor > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109683853/ripples-of-time,3.0,-1,Boulder,V10 PG13,1,,43.41659,-89.72669,1,862,8,"Nov7,2014"
1334,Beautiful and the Bold(Project),Beautiful & Bold > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107093543/beautiful-and-the-boldproject,3.0,-1,Boulder,V7+,1,,43.42184,-89.73729,1,1224,8,"Apr7,2011"
1335,Haunted Castle,"Castle in the Sky > 4.  Peaches and Castle in the Sky > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109461672/haunted-castle,3.0,-1,Boulder,V9 R,1,25.0,43.426109999999994,-89.73645,1,845,8,"Sep12,2014"
1336,Silently Judging Sit,Black Rhino > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113558949/silently-judging-sit,3.0,-1,Boulder,V7+ PG13,1,20.0,43.41584,-89.725,1,534,8,"Sep6,2017"
1337,Oofda ArÃªte,4.  Oofdah Arete > 06. Alpine Club/Beautiful Soup > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112236383/oofda-arete,3.0,-1,Boulder,V7,1,,43.417759999999994,-89.7372,1,617,8,"Oct16,2016"
1338,There are Two,White Knight > 02. Ghost Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/110399830/there-are-two,3.0,-1,Boulder,V8,1,12.0,43.40899,-89.73649,1,669,7,"Apr28,2015"
1339,King Crab,Cave Rock Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111103721/king-crab,3.0,-1,Boulder,V7-8 R,1,,43.42156,-89.73737,1,577,6,"Oct2,2015"
1340,Espionage,Monolith Talus miscellany > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109541809/espionage,3.0,-1,Boulder,V8,1,,43.42223,-89.72445,1,643,6,"Oct3,2014"
1341,Hammer Club Sit,1.  Alpine Club > 06. Alpine Club/Beautiful Soup > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107741487/hammer-club-sit,3.0,-1,Boulder,V9,1,,43.41806,-89.73699,1,774,6,"Aug8,2012"
1342,Encouragement of Climb,07: Prehistoric Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123287282/encouragement-of-climb,3.0,-1,Boulder,V6,1,10.0,43.4178,-89.72714,1,73,13,"Oct20,2022"
1343,Sticky Icky,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106560268/sticky-icky,2.6,-1,Boulder,V9,1,10.0,43.42098,-89.73728,8,1916,12,"Oct2,2009"
1344,Public Enemy,02. Public Enemy > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107205863/public-enemy,2.5,-1,Boulder,V8,1,,43.41649,-89.73747,10,2178,15,"Jul9,2011"
1345,Burmese Python,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107583454/burmese-python,2.8,-1,Boulder,V10,1,,43.4,-89.74329,4,2855,21,"Apr29,2012"
1346,SunnyD (aka Sunny & 60's Direct),Sunny & 60s > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108088705/sunnyd-aka-sunny-60s-direct,2.8,-1,Boulder,V6,1,,43.42442,-89.72506,4,1024,8,"Apr13,2013"
1347,Night Grinder,Night Grinder > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107082422/night-grinder,2.8,-1,Boulder,V6,1,,43.41411,-89.72352,4,530,4,"Mar28,2011"
1348,"Oval Office v9, sit v10",Cave Rock Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111086151/oval-office-v9-sit-v10,2.3,-1,Boulder,V9,1,,43.42156,-89.73737,8,952,10,"Sep28,2015"
1349,Vice Grip,"El Parasol > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107619943/vice-grip,2.4,-1,Boulder,V9,1,,43.427659999999996,-89.73581,9,1227,9,"May22,2012"
1350,Baby Burmese,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107546370/baby-burmese,2.2,-1,Boulder,V8-,1,,43.4,-89.74329,13,1205,9,"Apr7,2012"
1351,Missionaria Protectiva,"Gom Jabbar > 4.  Gom Jabbar > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117942774/missionaria-protectiva,2.6,-1,Boulder,V10,1,15.0,43.42348,-89.73784,5,1148,27,"Oct25,2019"
1352,Battle Cry,Saucer > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108762731/battle-cry,2.6,-1,Boulder,V9,1,,43.42435,-89.72505,5,1103,10,"Mar20,2014"
1353,The False,Block Party > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108430328/the-false,2.6,-1,Boulder,V10 PG13,1,,43.41345,-89.7225,5,1133,10,"Nov10,2013"
1354,Tip Top,Tipping Point > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108882942/tip-top,2.3,-1,Boulder,V8,1,,43.421490000000006,-89.72417,6,694,6,"Apr21,2014"
1355,Hidden Amphitheater,10. Hidden Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122492513/hidden-amphitheater,2.7,-1,Boulder,V6,1,,43.4183,-89.72674,3,182,17,"May31,2022"
1356,De Oppresso Liber,The Pool > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122358610/de-oppresso-liber,2.7,-1,Boulder,V8,1,,43.42004,-89.73738,3,179,16,"May7,2022"
1357,Fire Escape,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117971383/fire-escape,2.7,-1,Boulder,V9-10 PG13,1,,43.41357,-89.70137,3,602,14,"Oct31,2019"
1358,Blade Runner,Clusterf@&% Area (aka Lost Face Boulders) > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113729261/blade-runner,2.7,-1,Boulder,V10,1,,43.42055,-89.738,3,930,14,"Nov7,2017"
1359,More Cowbell,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112838424/more-cowbell,2.7,-1,Boulder,V9 R,1,,43.42098,-89.73728,3,799,11,"Apr19,2017"
1360,Lip-enstein,Lip-enstein > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108071211/lip-enstein,2.7,-1,Boulder,V6,1,,43.41272,-89.7115,3,839,7,"Apr3,2013"
1361,Sharp Cheddar,Upper Slant Boulder Field > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108359527/sharp-cheddar,2.7,-1,Boulder,V6,1,10.0,43.4211,-89.73704000000001,3,588,5,"Sep29,2013"
1362,Die Hard,Fukness (aka Heartbreak) > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106880388/die-hard,2.7,-1,Boulder,V6 PG13,1,,43.41695,-89.72691,3,631,4,"Sep5,2010"
1363,Tyranny of Heaven,The Wedge > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107299933/tyranny-of-heaven,2.3,-1,Boulder,V11,1,12.0,43.42281,-89.72442,6,2279,16,"Sep24,2011"
1364,Placenta,Tipping Point > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113041548/placenta,2.4,-1,Boulder,V9-,1,,43.421490000000006,-89.72417,7,749,10,"May30,2017"
1365,Final Cut,Bulbous > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108183861/final-cut,2.5,-1,Boulder,V8,1,,43.4145,-89.72334000000001,6,1151,10,"Jun8,2013"
1366,Hog Wild,Hog Wild > 04. Pork Chop > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108176403/hog-wild,2.5,-1,Boulder,V7,1,,43.416540000000005,-89.73844,6,841,7,"Jun3,2013"
1367,Black Sheep,Yo Shorty > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106558026/black-sheep,2.4,-1,Boulder,V8-,1,,43.42088,-89.73639,7,1619,10,"Sep29,2009"
1368,So Dope,"Massive Vertigo > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107121784/so-dope,2.2,-1,Boulder,V6,1,,43.4237,-89.73655,12,562,4,"May1,2011"
1369,El Nino,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107451919/el-nino,2.2,-1,Boulder,V8-9,1,12.0,43.42157,-89.72333,11,1730,13,"Jan27,2012"
1370,Minotaur,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119880826/minotaur,2.5,-1,Boulder,V7-8 PG13,1,,43.42098,-89.73728,4,423,14,"Nov7,2020"
